,ds,y
110140,2019-01-23,5239
110079,2019-01-24,5299
110217,2019-01-25,5347
124394,2019-01-26,5378
131193,2019-01-27,5382
157087,2019-01-28,5385
109746,2019-01-29,5450
138764,2019-01-30,5473
147342,2019-01-31,5495
157085,2019-02-01,5481
86194,2019-02-02,5534
106432,2019-02-03,5543
147136,2019-02-04,5487
112210,2019-02-05,5640
126555,2019-02-06,5620
153420,2019-02-07,2691
131580,2019-02-08,2710
127524,2019-02-09,2736
84152,2019-02-10,2741
87447,2019-02-11,2739
139150,2019-02-12,2837
132197,2019-02-13,2925
131202,2019-02-14,2950
134171,2019-02-15,2983
36396,2019-02-16,3005
137564,2019-02-17,3007
158732,2019-02-18,2990
132379,2019-02-19,3072
131569,2019-02-20,3091
131268,2019-02-21,3116
139094,2019-02-22,3127
110209,2019-02-23,3140
133923,2019-02-24,3153
86247,2019-02-25,3153
131263,2019-02-26,3169
132137,2019-02-27,3117
109982,2019-02-28,3145
139164,2019-03-01,3206
113440,2019-03-02,3219
153645,2019-03-03,3221
132165,2019-03-04,3181
132324,2019-03-05,3311
87153,2019-03-06,3362
132146,2019-03-07,3388
